"id","topic","description","link"
1,earthquakes,How to survive an earthquake,https://www.youtube.com/watch?v=GSDmqLQmMN0
2,terrorism,How to survive a terrorist attack,https://www.youtube.com/watch?v=bAi4EQrOHD8
3,kidnapping,How to survive being kidnapped,https://www.youtube.com/watch?v=ULlUaXHwk-8#t=2m8s
4,theft,How to prevent theft,https://www.youtube.com/watch?v=c5XS6nshBmI
5,staying safe,How to stay safe,https://www.youtube.com/watch?v=pi5SS02J4KA&t=12s
6,floods,How to survive a flood,https://www.youtube.com/watch?v=tyvd8U6W2II
7,landslides,How to survive a landslide,https://www.youtube.com/watch?v=bX7z102Kq-Q
8,avalanches,How to survive an avalanche,https://www.youtube.com/watch?v=RnCCqHOiX5Q
9,hurricane,How to survive a hurricane,https://www.youtube.com/watch?v=aEkAzbM4_HU
10,pickpockets,How to prevent your pocket from being picked,https://www.youtube.com/watch?v=ZV7wrTbudOs
11,heatwave,How to stay safe during a heatwave,https://www.youtube.com/watch?v=kwUMBVO-ar0
12,forest fires,How to survive a forest fire,https://www.youtube.com/watch?v=_bNLtjHG9dM
13,dust storms,How to stay safe during a dust storm,https://www.youtube.com/watch?v=WogCxzlRpRc
14,volcanic eruptions,How to survive a volcanic eruption,https://www.youtube.com/watch?v=Z-w_z9yobpE
15,health,How to look after yourself,https://www.youtube.com/watch?v=MqJ3zt_-Pao
